Observation,Cooks_Distance
137,0.0053334412089026464
138,0.00015477876308784273
139,1.9040311478397214e-05
140,0.0003896260958651243
141,1.5211468489384657e-05
142,7.907252280921881e-05
143,0.0012269658065677928
144,0.0003612258650291639
145,0.0010073725438883396
146,0.0018395960845778458
147,0.0031618970169394146
148,0.00010279744608964225
149,0.0018724855714666818
150,0.0003410680190164431
151,1.8646785781972297e-05
152,0.0026140790913008203
153,7.654050196381272e-05
154,5.885370103685363e-05
155,0.0002184477649161523
156,0.0003043134470664282
157,7.704249812852152e-05
158,0.0001462352654286696
159,0.00901847026136674
160,0.0012644468289705777
161,0.0006872668276088562
162,5.6942889039444274e-05
163,0.0002916620257970103
164,0.00024083951478168965
165,3.714376368189539e-07
166,0.002216424127233136
167,0.002542218012529978
168,0.0006294132743751198
169,0.001270351985561576
170,0.008579009829225489
171,0.0009081309042694201
172,5.018149346421864e-06
173,0.00013674328937659266
174,0.0002245979566184141
175,0.00019001081827889297
176,0.00018257669213032115
177,0.0024884147853059383
178,0.00018018352555884925
179,0.0024197623892530124
180,8.14171382132522e-07
181,0.0008012224292129671
182,0.0017296968958994546
183,0.00013427095897891326
184,0.004155497825762068
185,2.015948479296555e-05
186,0.0003873990541195585
187,6.859150520723486e-05
188,0.00019436459493467822
189,3.893276732197522e-05
190,0.00027733144781968386
191,0.0006076674411706862
192,0.002118919879121486
193,5.238058772465049e-05
194,0.0037423729564908777
195,0.003578485046495103
196,0.00043261056772867667
197,0.001779214624132002
198,3.565603333426614e-06
199,0.00045508906148463964
200,0.0021375085231708606
201,0.0001561235677750265
202,0.0003023153441500465
203,0.00038979905946527605
204,0.0009956148693151402
205,0.0009436729671434937
206,0.0002527141983709722
207,0.0002034421335088574
208,0.002472965625919213
209,0.0002898522514571224
210,0.0004968350017180251
211,0.0009396009682566947
212,0.0019594877989020246
213,0.00011140284438257173
214,0.00038880504077572296
215,0.0003088681351466708
216,0.0007795533061234715
217,1.7929332121889447e-06
218,0.0019762878797775657
219,0.0016783730932250125
220,0.00012216972093286564
221,7.709283639803082e-05
222,0.0014499282854972648
223,0.00025193827032220917
224,0.0004873353129280786
225,0.005609717050840311
226,7.402303490715123e-05
227,0.0007235951246096761
228,6.526577449593428e-05
229,0.0030949986943860446
230,0.0015649650241213217
231,0.004632467460145501
232,0.00024418071175660134
233,0.002172317760011466
234,9.18171469722264e-05
235,0.00045368730816916747
236,0.00013395736978547446
237,0.0005507578769699378
238,4.725559564193484e-05
239,0.0020352731291977725
240,3.6661581442912365e-06
241,0.0006677410549328813
242,0.000377875745101853
243,0.0002395037991001489
244,0.0010404381062575725
245,1.7714850553561284e-06
246,0.0004337709256878582
247,0.0004920965137332501
248,3.1693057327504116e-05
249,0.0035420063706211114
250,0.0005276014634795877
251,0.0004417883411285468
252,0.00032292360817092944
253,0.00014168532091607023
254,0.000497037398704571
255,0.0008967274849458792
256,0.0008864184468672833
257,0.0013905554530255642
258,0.00012041255596908587
259,2.6862792077334794e-05
260,0.00024685680117087096
261,3.0262475229387198e-06
262,0.0008773354208624071
263,0.0008660540246085676
264,0.00033606112883072947
265,0.006587813985028996
266,0.001800069913620166
267,0.005259035763489363
268,1.1333844423383097e-05
269,0.0003404219891642996
270,1.684977900882422e-05
271,1.3909388667437029e-05
272,0.0004710836345339834
273,0.007511824117303521
274,1.3052705631412103e-05
275,0.005178970024105766
276,6.633587770418394e-05
277,1.84172566885466e-07
278,0.0033271580950911704
279,0.00012211584716466302
280,1.8209761315979342e-05
281,0.001623086425902008
282,8.038765849353664e-06
283,3.415588087416999e-05
284,0.0004442148303211772
