Year,Region,Round,Game,Team_A,Team_A_Seed,Team_A_Score,Team_B,Team_B_Seed,Team_B_Score,Winner,Team_A_Rank,Team_A_Conference,Team_A_W-L,Team_A_NetRtg,Team_A_ORtg,Team_A_DRtg,Team_A_AdjT,Team_A_Luck,Team_A_Strength_of_Schedule_NetRtg,Team_A_Strength_of_Schedule_ORtg,Team_A_Strength_of_Schedule_DRtg,Team_A_NCSOS_NetRtg,Team_B_Rank,Team_B_Conference,Team_B_W-L,Team_B_NetRtg,Team_B_ORtg,Team_B_DRtg,Team_B_AdjT,Team_B_Luck,Team_B_Strength_of_Schedule_NetRtg,Team_B_Strength_of_Schedule_ORtg,Team_B_Strength_of_Schedule_DRtg,Team_B_NCSOS_NetRtg,NetRtg_diff,ORtg_diff,DRtg_diff,AdjT_diff,Luck_diff,Strength_of_Schedule_NetRtg_diff,diff_NetRtg,diff_ORtg,diff_DRtg,diff_AdjT,diff_Luck,diff_Strength_of_Schedule_NetRtg,diff_Strength_of_Schedule_ORtg,diff_Strength_of_Schedule_DRtg,diff_NCSOS_NetRtg
2002,South,1,1,Duke,1,84.0,Winthrop,16,37.0,1.0,1,ACC,31-4,34.19,121.0,86.8,74.5,-0.027,9.87,109.1,99.2,6.66,219,BSth,17-12,-5.31,97.3,102.6,65.9,0.038,-10.73,97.0,107.7,-0.98,39.5,23.700000000000003,-15.799999999999995,8.599999999999994,-0.065,20.6,39.5,23.700000000000003,-15.799999999999997,8.599999999999994,-0.065,20.6,12.099999999999994,-8.5,7.640000000000001
2002,South,1,2,Notre Dame,8,82.0,Charlotte,9,63.0,1.0,19,BE,21-11,19.27,116.1,96.8,68.6,-0.087,7.33,105.4,98.1,-1.55,40,CUSA,18-12,15.73,114.2,98.5,66.8,-0.008,9.23,107.3,98.1,6.48,3.539999999999999,1.8999999999999917,-1.7000000000000028,1.7999999999999972,-0.0789999999999999,-1.9000000000000004,3.539999999999999,1.8999999999999915,-1.7000000000000028,1.7999999999999972,-0.07899999999999999,-1.9000000000000004,-1.8999999999999915,0.0,-8.030000000000001
2002,South,1,3,Indiana,5,75.0,Utah,12,56.0,1.0,6,B10,25-12,24.8,114.0,89.2,65.6,-0.049,14.11,110.8,96.7,13.53,45,MWC,19-9,14.08,111.4,97.3,62.1,0.01,5.38,106.2,100.8,1.57,10.72,2.5999999999999943,-8.099999999999994,3.499999999999993,-0.059,8.73,10.72,2.5999999999999943,-8.099999999999994,3.499999999999993,-0.059000000000000004,8.73,4.599999999999994,-4.099999999999994,11.959999999999999
2002,South,1,4,USC,4,89.0,UNC Wilmington,13,93.0,0.0,12,P10,22-10,20.67,112.8,92.1,70.1,-0.051,9.3,109.2,99.9,1.89,65,CAA,23-10,11.32,107.4,96.1,63.9,-0.003,0.83,103.2,102.4,4.56,9.35,5.399999999999992,-4.0,6.199999999999996,-0.0479999999999999,8.47,9.350000000000001,5.3999999999999915,-4.0,6.199999999999996,-0.047999999999999994,8.47,6.0,-2.5,-2.67
2002,South,1,5,California,6,82.0,Penn,11,75.0,1.0,37,P10,23-9,16.03,109.8,93.7,66.6,0.088,7.89,107.9,100.0,-5.85,58,Ivy,25-7,12.23,110.2,98.0,65.6,-0.019,-2.38,101.9,104.3,0.99,3.8000000000000007,-0.4000000000000057,-4.299999999999997,1.0,0.107,10.27,3.8000000000000007,-0.4000000000000057,-4.299999999999997,1.0,0.107,10.27,6.0,-4.299999999999997,-6.84
2002,South,1,8,Alabama,2,86.0,Florida Atlantic,15,78.0,1.0,22,SEC,27-8,18.73,114.0,95.3,68.0,0.076,8.59,107.1,98.5,-1.56,191,ASun,18-12,-2.5,99.6,102.1,70.2,0.06,-4.94,101.9,106.9,-4.52,21.23,14.400000000000006,-6.799999999999997,-2.200000000000003,0.016,13.53,21.23,14.400000000000006,-6.799999999999997,-2.200000000000003,0.016,13.530000000000001,5.199999999999989,-8.400000000000006,2.9599999999999995
2002,South,2,1,Duke,1,84.0,Notre Dame,8,77.0,1.0,1,ACC,31-4,34.19,121.0,86.8,74.5,-0.027,9.87,109.1,99.2,6.66,19,BE,21-11,19.27,116.1,96.8,68.6,-0.087,7.33,105.4,98.1,-1.55,14.919999999999998,4.900000000000006,-10.0,5.900000000000006,0.06,2.539999999999999,14.919999999999998,4.900000000000006,-10.0,5.900000000000006,0.06,2.539999999999999,3.6999999999999886,1.1000000000000085,8.21
2002,South,2,2,Indiana,5,76.0,UNC Wilmington,13,67.0,1.0,6,B10,25-12,24.8,114.0,89.2,65.6,-0.049,14.11,110.8,96.7,13.53,65,CAA,23-10,11.32,107.4,96.1,63.9,-0.003,0.83,103.2,102.4,4.56,13.48,6.599999999999994,-6.899999999999992,1.6999999999999955,-0.046,13.28,13.48,6.599999999999994,-6.8999999999999915,1.6999999999999957,-0.046,13.28,7.599999999999994,-5.700000000000003,8.969999999999999
2002,South,3,1,Duke,1,73.0,Indiana,5,74.0,0.0,1,ACC,31-4,34.19,121.0,86.8,74.5,-0.027,9.87,109.1,99.2,6.66,6,B10,25-12,24.8,114.0,89.2,65.6,-0.049,14.11,110.8,96.7,13.53,9.389999999999995,7.0,-2.4000000000000057,8.900000000000006,0.022,-4.24,9.389999999999997,7.0,-2.4000000000000057,8.900000000000006,0.022000000000000002,-4.24,-1.7000000000000028,2.5,-6.869999999999999
2002,West,1,1,Cincinnati,1,90.0,Boston University,16,52.0,1.0,2,CUSA,31-4,30.19,118.1,87.9,67.4,0.002,6.58,106.3,99.7,3.48,194,AE,22-10,-2.74,101.3,104.0,64.5,0.102,-9.18,97.5,106.6,0.25,32.93,16.799999999999997,-16.099999999999994,2.9000000000000057,-0.0999999999999999,15.76,32.93,16.799999999999997,-16.099999999999994,2.9000000000000057,-0.09999999999999999,15.76,8.799999999999997,-6.8999999999999915,3.23
