Year,Region,Round,Game,Team_A_Seed,Team_A,Team_A_Score,Team_B_Seed,Team_B,Team_B_Score,Winner,Location
2004,Atlanta,1,8,2,Mississippi State,85,15,Monmouth,52,1.0,"at Orlando, FL"
2004,Atlanta,2,1,1,Duke,90,8,Seton Hall,62,1.0,"at Raleigh, NC"
2004,Atlanta,2,2,5,Illinois,92,4,Cincinnati,68,1.0,"at Columbus, OH"
2004,Atlanta,2,3,6,UNC,75,3,Texas,78,0.0,"at Denver, CO"
2004,Atlanta,2,4,7,Xavier,89,2,Mississippi State,74,1.0,"at Orlando, FL"
2004,Atlanta,3,1,1,Duke,72,5,Illinois,62,1.0,"at Atlanta, GA"
2004,Atlanta,3,2,3,Texas,71,7,Xavier,79,0.0,"at Atlanta, GA"
2004,Atlanta,4,1,1,Duke,66,7,Xavier,63,1.0,"at Atlanta, GA"
2004,East Rutherford,1,1,1,St. Joseph's,82,16,Liberty,63,1.0,"at Buffalo, NY"
2004,East Rutherford,1,2,8,Texas Tech,76,9,Charlotte,73,1.0,"at Buffalo, NY"
2004,East Rutherford,1,3,5,Florida,60,12,Manhattan,75,0.0,"at Raleigh, NC"
2004,East Rutherford,1,4,4,Wake Forest,79,13,VCU,78,1.0,"at Raleigh, NC"
2004,East Rutherford,1,5,6,Wisconsin,76,11,Richmond,64,1.0,"at Milwaukee, WI"
2004,East Rutherford,1,6,3,Pitt,53,14,UCF,44,1.0,"at Milwaukee, WI"
2004,East Rutherford,1,7,7,Memphis,59,10,South Carolina,43,1.0,"at Kansas City, MO"
2004,East Rutherford,1,8,2,Oklahoma State,75,15,Eastern Washington,56,1.0,"at Kansas City, MO"
2004,East Rutherford,2,1,1,St. Joseph's,70,8,Texas Tech,65,1.0,"at Buffalo, NY"
2004,East Rutherford,2,2,12,Manhattan,80,4,Wake Forest,84,0.0,"at Raleigh, NC"
2004,East Rutherford,2,3,6,Wisconsin,55,3,Pitt,59,0.0,"at Milwaukee, WI"
2004,East Rutherford,2,4,7,Memphis,53,2,Oklahoma State,70,0.0,"at Kansas City, MO"
2004,East Rutherford,3,1,1,St. Joseph's,84,4,Wake Forest,80,1.0,"at East Rutherford, NJ"
2004,East Rutherford,3,2,3,Pitt,51,2,Oklahoma State,63,0.0,"at East Rutherford, NJ"
2004,East Rutherford,4,1,1,St. Joseph's,62,2,Oklahoma State,64,0.0,"at East Rutherford, NJ"
2004,Phoenix,1,1,1,Stanford,71,16,UTSA,45,1.0,"at Seattle, WA"
